,Title,Publication Title,Conference Name,Author,Item Type,Publication Year,Sector,AppTagGeneral,TechniqueTagGen,TechniqueTagSpec,AppTagSpecific
BT2V9A2Z,Typical load profiles in the smart grid context—A clustering methods comparison,"Proceedings of the Power and Energy Society General Meeting, 2012 IEEE",IEEE Power and Energy Society General Meeting,"Ramos, Sérgio; Duarte, JMM; Soares, João; Vale, Zita; Duarte, Fernando J",conferencePaper,2012.0,ElectricalEngineering,SmartMeter,Clustering,MultipleTechniques,LoadProfiling
C5FWXV8S,Real-time detection of anomalous power consumption,Renewable and Sustainable Energy Reviews,,"Chou, Jui-Sheng; Telaga, Abdi Suryadinata",journalArticle,2014.0,BuildingEnergyAnalysis,AnomalyDetection,Clustering,K-Means,WholeBuilding
CH86XGQD,Identification of Causal Variables for Building Energy Fault Detection by Semi-supervised LDA and Decision Boundary Analysis,"Data Mining Workshops, 2008. ICDMW '08. IEEE International Conference on",IEEE International Conference on Data Mining Workshop (ICDMW),"Yoshida, Keigo; Inui, Minoru; Yairi, Takehisa; Machida, Kazuo; Shioya, Masaki; Masukawa, Yoshio",conferencePaper,2008.0,ElectricalEngineering,AnomalyDetection,NoveltyDetection,LinearDescriminantAnalysis,Subsystem
CHWEWEB8,"Classification, Filtering, and Identification of Electrical Customer Load Patterns Through the Use of Self-Organizing Maps",IEEE Transactions on Power Systems,,"Verdu, S V; Garcia, M O; Senabre, C; Marin, A G; Franco, F J G",journalArticle,2006.0,ElectricalEngineering,SmartMeter,Clustering,SelfOrganizingMaps,CustomerClassification
D4ASNNWJ,Mining Anomalous Electricity Consumption Using Ensemble Empirical Mode Decomposition,"Acoustics, Speech and Signal Processing (ICASSP), 2013 IEEE International Conference on","IEEE Int. Conference on Acoustics, Speech and Signal Processing (ICASSP)","Fontugne, Romain; Tremblay, Nicolas; Borgnat, Pierre; Flandrin, Patrick; Esaki, Hiroshi",conferencePaper,2013.0,ComputerScience,AnomalyDetection,NoveltyDetection,EmpiricalModeDecomposition,Component
DRC7DFDZ,Electrical Load Pattern Grouping Based on Centroid Model With Ant Colony Clustering,IEEE Transactions on Power Systems,,"Chicco, Gianfranco; Ionel, O-M; Porumb, Radu",journalArticle,2013.0,ElectricalEngineering,SmartMeter,Clustering,AntColony,LoadProfiling
E2XCKWUU,An Electric Energy Consumer Characterization Framework Based on Data Mining Techniques,IEEE Transactions on Power Systems,,"Figueiredo, V; Rodrigues, F; Vale, Z; Gouveia, J B",journalArticle,2005.0,ElectricalEngineering,SmartMeter,Clustering,K-Means,CustomerClassification
E4ZXQHQB,Visualizing building energy demand for building peak energy analysis,Energy and Buildings,,"Yarbrough, I.; Sun, Q.; Reeves, D. C.; Hackman, K.; Bennett, R.; Henshel, D. S.",journalArticle,2015.0,BuildingEnergyAnalysis,PortfolioAnalysis,VisualAnalytics,EnergyInformationSystem,Characterization
EU39WJTB,Site-Level Energy Monitoring and Analysis using Koopman Operator Methods,Proceedings of the 2014 ASHRAE/IBPSA-USA Building Simulation Conference (SimBuild 2014),IBPSA-USA Building Simulation Conference (SimBuild),"Georgescu, M; Mezic, I",conferencePaper,2014.0,BuildingSimulation,PortfolioAnalysis,VisualAnalytics,PatternAnalysis,Characterization
EVQHM7RZ,Cluster analysis of simulated energy use for LEED certified U.S. office buildings,Energy and Buildings,,"Heidarinejad, Mohammad; Dahlhausen, Matthew; McMahon, Sean; Pyke, Chris; Srebric, Jelena",journalArticle,2014.0,BuildingEnergyAnalysis,PortfolioAnalysis,Clustering,K-Means,Classifying
