,Title,Publication Title,Conference Name,Author,Item Type,Publication Year,Sector,AppTagGeneral,TechniqueTagGen,TechniqueTagSpec,AppTagSpecific,title,ID
37,Data Mining for Modeling Chiller Systems in Data Centers,Advances in Intelligent Data Analysis IX,,"Patnaik, Debprakash; Marwah, Manish; Sharma, Ratnesh K; Ramakrishnan, Naren",bookSection,2010,Computer Science,Operations,Motif Detection,Symbolic Aggregate Approximation (SAX),Controls,Data Mining for Modeling Chiller Systems in Data Centers,patnaik_data_2010
38,Data and Interfaces for Advanced Building Operations and Maintenance - RP 1633 Final Report,,,"Gayeski, Nicholas; Kleindienst, Sian; Gagne, Jaime; Werntz, Bradley; Cruz, Ryan; Samouhos, Stephen",report,2015,Building Energy Analysis,Operations,Visual Analytics,Energy Information Systems (EIS),Energy Management,Data and Interfaces for Advanced Building Operations and Maintenance - RP 1633 Final Report,gayeski_data_2015
39,Data association mining for identifying lighting energy waste patterns in educational institutes,Energy and Buildings,,"Cabrera, David F Motta; Zareipour, Hamidreza",journalArticle,2013,Building Energy Analysis,PortfolioAnalysis,Rule Extraction,Data Assocation Rules (DAR),Targeting,Data association mining for identifying lighting energy waste patterns in educational institutes,cabrera_data_2013
40,Data mining applications in power systems—Case-studies and future trends,"IEEE Transmission & Distribution Conference & Exposition: Asia and Pacific, 2009",IEEE Transmission & Distribution Conference & Exposition,"Vale, Zita A; Ramos, Carlos; Ramos, Sérgio; Pinto, Tiago",conferencePaper,2009,Electrical Engineering,SmartMeter,Clustering,Multiple Techniques,Classification,,
41,Data mining applications in power systems—Case-studies and future trends,"IEEE Transmission & Distribution Conference & Exposition: Asia and Pacific, 2009",IEEE Transmission & Distribution Conference & Exposition,"Vale, Zita A; Ramos, Carlos; Ramos, Sérgio; Pinto, Tiago",conferencePaper,2009,Electrical Engineering,SmartMeter,Clustering,Multiple Techniques,Customer Class.,,
42,Data mining in building automation system for improving building operational performance,Energy and Buildings,,"Xiao, Fu; Fan, Cheng",journalArticle,2014,Building Energy Analysis,Operations,Rule Extraction,Data Assocation Rules (DAR),Energy Management,Data mining in building automation system for improving building operational performance,xiao_data_2014
43,Discovering unexpected information using a building energy visualization tool,Proceedings of the IS&T/SPIE 2013 Conference on Electronic Imaging,IS&T/SPIE Conference on Electronic Imaging,"Lange, B; Rodriguez, N; Puech, W; Vasques, X",conferencePaper,2013,Electrical Engineering,Operations,Visual Analytics,Pattern Analysis,Energy Management,Discovering unexpected information using a building energy visualization tool,lange_discovering_2013
44,Divide and Conquer K-Means Clustering of Demand Data Allows Rapid and Accurate Simulations of the British Electricity System,IEEE Transactions on Engineering Management,,"Green, R.; Staffell, I.; Vasilakos, N.",journalArticle,2014,Electrical Engineering,SmartMeter,Clustering,K-Means,Load Profiling,Divide and Conquer K-Means Clustering of Demand Data Allows Rapid and Accurate Simulations of the British Electricity System,green_divide_2014
45,Efficient Rule Engine for Smart Building Systems,IEEE Transactions on Computers,,"Sun, Yan; Wu, Tin-Yu; Zhao, Guotao; Guizani, M.",journalArticle,2015,Electrical Engineering,AnomalyDetection,Novelty Detection,Data Assocation Rules (DAR),Subsystem,Efficient Rule Engine for Smart Building Systems,sun_efficient_2015
46,Electrical Load Pattern Grouping Based on Centroid Model With Ant Colony Clustering,IEEE Transactions on Power Systems,,"Chicco, Gianfranco; Ionel, O-M; Porumb, Radu",journalArticle,2013,Electrical Engineering,SmartMeter,Clustering,Ant Colony,Load Profiling,Electrical Load Pattern Grouping Based on Centroid Model With Ant Colony Clustering,chicco_electrical_2013
47,Energy Consumption Improvement Through a Visualization Software,Energy Efficiency - A Bridge to Low Carbon Economy,,"Lange, Benoit; Rodriguez, Nancy; Puech, William",bookSection,2012,Electrical Engineering,Operations,Visual Analytics,Pattern Analysis,Energy Management,Energy Consumption Improvement Through a Visualization Software,lange_energy_2012
48,Establishing the foundation for energy management on university campuses via data analytics,Proceedings of the IEEE SoutheastCon 2015,IEEE SoutheastCon,"Diong, B.; Zheng, G.; Ginn, M.",conferencePaper,2015,Electrical Engineering,PortfolioAnalysis,Visual Analytics,Energy Information Systems (EIS),Characterization,Establishing the foundation for energy management on university campuses via data analytics,diong_establishing_2015
49,Estimation of Thermal Parameters of Buildings Through Inverse Modeling and Clustering for a Portfolio of Buildings,Proceedings of the Fifth National Conference of IBPSA-USA (SimBuild 2012),National Conference of IBPSA-USA (SimBuild),"An, Lianjun; Horesh, Raya; Chae, Young Tae; Lee, Young M",conferencePaper,2012,Building Simulation,PortfolioAnalysis,Clustering,K-Means,Characterization,Estimation of Thermal Parameters of Buildings Through Inverse Modeling and Clustering for a Portfolio of Buildings,an_estimation_2012
50,Evaluating a data clustering approach for life-cycle facility control,Journal of Information Technology in Construction,,"Bogen, A C; Rashid, M; East, E W; Ross, J",journalArticle,2013,Building Energy Analysis,Operations,Clustering,Multiple Techniques,Controls,Evaluating a data clustering approach for life-cycle facility control,bogen_evaluating_2013
51,Evaluating different clustering techniques for electricity customer classification,"Transmission and Distribution Conference and Exposition, 2010 IEEE PES",Transmission and Distribution Conference and Exposition,"Bidoki, S M; Mahmoudi-Kohan, N; Sadreddini, M H; Zolghadri Jahromi, M; Moghaddam, M P",conferencePaper,2010,Electrical Engineering,SmartMeter,Clustering,Multiple Techniques,Customer Class.,Evaluating different clustering techniques for electricity customer classification,bidoki_evaluating_2010
52,Evaluating different clustering techniques for electricity customer classification,"Transmission and Distribution Conference and Exposition, 2010 IEEE PES",Transmission and Distribution Conference and Exposition,"Bidoki, S M; Mahmoudi-Kohan, N; Sadreddini, M H; Zolghadri Jahromi, M; Moghaddam, M P",conferencePaper,2010,Electrical Engineering,SmartMeter,Clustering,Multiple Techniques,Classification,Evaluating different clustering techniques for electricity customer classification,bidoki_evaluating_2010
53,Evaluation of the performance of clustering algorithms for a high voltage industrial consumer,Engineering Applications of Artificial Intelligence,,"Panapakidis, Ioannis; Alexiadis, Minas; Papagiannis, Grigoris",journalArticle,2015,Electrical Engineering,SmartMeter,Clustering,Multiple Techniques,Load Profiling,Evaluation of the performance of clustering algorithms for a high voltage industrial consumer,panapakidis_evaluation_2015
54,Exploiting Generalized Additive Models for Diagnosing Abnormal Energy Use in Buildings,Proceedings of the 5th ACM Workshop On Embedded Systems For Energy-Efficient Buildings (Buildsys '13),ACM Workshop on Embedded Sensing Systems for Energy-Efficiency in Buildings (BuildSys),"Ploennigs, Joern; Chen, Bei; Schumann, Anika; Brady, Niall",conferencePaper,2013,Electrical Engineering,AnomalyDetection,Novelty Detection,Generalized Additive Models (GAM),Whole Building,Exploiting Generalized Additive Models for Diagnosing Abnormal Energy Use in Buildings,ploennigs_exploiting_2013
55,Extracting knowledge from building-related data — A data mining framework,Building Simulation,,"Yu, Zhun Jerry; Fung, Benjamin C M; Haghighat, Fariborz",journalArticle,2013,Building Simulation,Operations,Rule Extraction,Data Assocation Rules (DAR),Energy Management,,
56,Extraction of supervisory building control rules from model predictive control of windows in a mixed mode building,Journal of Building Performance Simulation,,"May-Ostendorp, Peter T; Henze, Gregor P; Rajagopalan, Balaji; Corbin, Charles D",journalArticle,2013,Building Simulation,Operations,Rule Extraction,Data Assocation Rules (DAR),Controls,Extraction of supervisory building control rules from model predictive control of windows in a mixed mode building,may-ostendorp_extraction_2013
57,Fault detection analysis using data mining techniques for a cluster of smart office buildings,Expert Systems with Applications,,"Capozzoli, Alfonso; Lauro, Fiorella; Khan, Imran",journalArticle,2015,Building Energy Analysis,AnomalyDetection,Novelty Detection,Multiple Techniques,Whole Building,Fault detection analysis using data mining techniques for a cluster of smart office buildings,capozzoli_fault_2015
58,Fault diagnosis for sensors in air handling unit based on neural network pre-processed by wavelet and fractal,Energy and Buildings,,"Zhu, Yonghua; Jin, Xinqiao; Du, Zhimin",journalArticle,2012,Building Energy Analysis,AnomalyDetection,Novelty Detection,Wavelets,Component,Fault diagnosis for sensors in air handling unit based on neural network pre-processed by wavelet and fractal,zhu_fault_2012
59,Feature-based clustering for electricity use time series data,"Adaptive and Natural Computing Algorithms: 9th International Conference, ICANNGA 2009",International Conference on Adaptive and Natural Computing Algorithms (ICANNGA),"Räsänen, Teemu; Kolehmainen, Mikko",conferencePaper,2009,Electrical Engineering,SmartMeter,Clustering,Multiple Techniques,Load Profiling,Feature-based clustering for electricity use time series data,rasanen_feature-based_2009
60,Finding the Different Patterns in Buildings Data Using Bag of Words Representation with Clustering,2015 13th International Conference on Frontiers of Information Technology (FIT),2015 13th International Conference on Frontiers of Information Technology (FIT),"Habib, U.; Zucker, G.",conferencePaper,2015,Electrical Engineering,Operations,Motif Detection,Symbolic Aggregate Approximation (SAX),Controls,Finding the Different Patterns in Buildings Data Using Bag of Words Representation with Clustering,habib_finding_2015
61,Forensically discovering simulation feedback knowledge from a campus energy information system,Proceedings of the 2015 Symposium on Simulation for Architecture and Urban Design (SimAUD 2015),Symposium on Simulation for Architecture and Urban Design (SimAUD),"Miller, Clayton; Schlueter, Arno",conferencePaper,2015,Building Simulation,PortfolioAnalysis,Clustering,Multiple Techniques,Characterization,Forensically discovering simulation feedback knowledge from a campus energy information system,miller_forensically_2015
62,Identification of Causal Variables for Building Energy Fault Detection by Semi-supervised LDA and Decision Boundary Analysis,"Data Mining Workshops, 2008. ICDMW '08. IEEE International Conference on",IEEE International Conference on Data Mining Workshop (ICDMW),"Yoshida, Keigo; Inui, Minoru; Yairi, Takehisa; Machida, Kazuo; Shioya, Masaki; Masukawa, Yoshio",conferencePaper,2008,Electrical Engineering,AnomalyDetection,Novelty Detection,Linear Descriminant Analysis (LDA),Subsystem,Identification of Causal Variables for Building Energy Fault Detection by Semi-supervised LDA and Decision Boundary Analysis,yoshida_identification_2008
63,Identifying energy consumption patterns in the Attica hotel sector using cluster analysis techniques with the aim of reducing hotels’ CO2 footprint,Energy and Buildings,,"Pieri, Stella Panayiota; IoannisTzouvadakis; Santamouris, Mat",journalArticle,2015,Building Energy Analysis,PortfolioAnalysis,Clustering,Multiple Techniques,,,
64,Improving energy efficiency in buildings using machine intelligence,Intelligent Data Engineering and Automated Learning-IDEAL 2009,,"Sedano, Javier; Villar, José Ramón; Curiel, Leticia; De La Cal, Enrique; Corchado, Emilio",bookSection,2009,Computer Science,PortfolioAnalysis,Clustering,Maximum Likelihood (ML),Targeting,Improving energy efficiency in buildings using machine intelligence,sedano_improving_2009
65,Improving load forecast accuracy by clustering consumers using smart meter data,Proceedings of the 2015 International Joint Conference on Neural Networks (IJCNN),International Joint Conference on Neural Networks (IJCNN),"Shahzadeh, Abbas; Khosravi, Abbas; Nahavandi, Saeid",conferencePaper,2015,Computer Science,SmartMeter,Clustering,K-Means,Load Profiling,Improving load forecast accuracy by clustering consumers using smart meter data,shahzadeh_improving_2015
